person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
28,23278,MORTGAGE,8,DEBTCONSOLIDATION,A,18049,8.3,1,0.78,N,5
23,23905,MORTGAGE,2,EDUCATION,D,16328,8.5,1,0.68,N,2
58,56463,OWN,0,EDUCATION,B,12463,15.5,1,0.22,Y,12
42,33396,MORTGAGE,2,MEDICAL,A,26898,6.5,1,0.81,N,13
55,36361,MORTGAGE,12,EDUCATION,A,7164,13.3,0,0.2,N,13
35,57930,OWN,2,VENTURE,C,17256,18.0,1,0.3,N,14
43,47460,MORTGAGE,8,DEBTCONSOLIDATION,B,6679,14.1,0,0.14,N,7
45,55382,RENT,20,EDUCATION,A,38500,8.3,1,0.7,N,12
46,55093,MORTGAGE,2,MEDICAL,B,15826,18.7,1,0.29,N,20
46,104259,MORTGAGE,14,HOMEIMPROVEMENT,C,11363,9.0,1,0.11,N,9
48,96484,MORTGAGE,12,VENTURE,A,25723,8.3,0,0.27,N,6
28,40033,MORTGAGE,20,PERSONAL,D,12484,16.9,1,0.31,N,15
50,89352,MORTGAGE,8,DEBTCONSOLIDATION,A,38256,17.9,1,0.43,N,2
55,118419,RENT,8,VENTURE,A,24293,6.7,1,0.21,Y,15
37,85612,MORTGAGE,5,HOMEIMPROVEMENT,B,35271,18.7,1,0.41,N,11
31,90697,RENT,16,PERSONAL,C,2037,14.0,1,0.02,Y,17
40,51385,RENT,1,DEBTCONSOLIDATION,D,17785,18.2,1,0.35,N,4
55,36483,OWN,4,HOMEIMPROVEMENT,D,33148,19.2,1,0.91,Y,7
55,118994,OWN,6,HOMEIMPROVEMENT,D,22428,11.0,1,0.19,N,13
35,28392,MORTGAGE,10,EDUCATION,A,3378,13.8,0,0.12,N,9
24,50007,MORTGAGE,2,EDUCATION,C,4058,17.9,1,0.08,N,4
34,90678,OWN,4,VENTURE,B,39423,13.6,0,0.43,N,9
48,66438,MORTGAGE,13,DEBTCONSOLIDATION,A,28941,12.0,0,0.44,N,3
42,34322,RENT,7,VENTURE,B,14556,7.9,0,0.42,N,16
36,29880,RENT,14,PERSONAL,B,38066,6.5,1,1.27,N,19
52,83092,OWN,6,PERSONAL,D,28282,18.5,1,0.34,N,7
50,57388,RENT,13,EDUCATION,C,38422,14.9,1,0.67,N,17
24,95914,RENT,17,HOMEIMPROVEMENT,D,5994,16.2,1,0.06,N,3
54,40635,RENT,1,HOMEIMPROVEMENT,A,35281,6.2,1,0.87,N,7
36,72923,MORTGAGE,3,PERSONAL,D,39334,8.7,1,0.54,N,3
57,88522,RENT,10,MEDICAL,D,19089,8.1,1,0.22,N,12
40,79929,RENT,10,PERSONAL,B,6754,5.1,0,0.08,N,20
29,65745,OWN,2,HOMEIMPROVEMENT,C,18009,10.5,1,0.27,N,7
54,21025,RENT,17,MEDICAL,A,21620,19.0,1,1.03,Y,5
56,40374,RENT,8,DEBTCONSOLIDATION,C,20465,14.1,1,0.51,N,12
37,26658,RENT,2,MEDICAL,B,29759,17.4,1,1.12,N,3
37,41178,RENT,14,PERSONAL,A,38154,15.6,1,0.93,Y,19
30,91511,OWN,1,EDUCATION,A,26196,13.7,0,0.29,N,6
23,66898,MORTGAGE,6,VENTURE,B,18353,15.0,1,0.27,Y,13
36,41299,OWN,5,DEBTCONSOLIDATION,B,29020,5.4,1,0.7,N,12
27,70140,OWN,1,MEDICAL,B,32847,8.3,1,0.47,N,16
33,72227,OWN,10,DEBTCONSOLIDATION,D,20258,18.0,1,0.28,N,10
55,63404,RENT,0,HOMEIMPROVEMENT,C,9559,18.2,1,0.15,N,10
59,76959,RENT,11,VENTURE,B,22557,11.5,0,0.29,N,18
48,20221,OWN,16,VENTURE,A,37287,15.3,1,1.84,Y,8
42,101678,MORTGAGE,10,MEDICAL,D,10167,15.8,1,0.1,N,11
39,92667,MORTGAGE,4,DEBTCONSOLIDATION,B,14572,11.3,0,0.16,N,14
40,73225,OWN,17,HOMEIMPROVEMENT,C,2026,9.6,1,0.03,N,8
49,108555,MORTGAGE,6,PERSONAL,C,35500,12.1,1,0.33,N,7
60,63933,RENT,2,EDUCATION,A,17392,15.1,1,0.27,N,9
51,100120,RENT,2,DEBTCONSOLIDATION,D,31846,11.2,1,0.32,N,20
36,39342,OWN,20,EDUCATION,B,2363,18.4,1,0.06,N,5
54,80889,OWN,1,EDUCATION,D,38530,8.7,1,0.48,N,5
56,98047,OWN,10,HOMEIMPROVEMENT,D,31004,14.2,1,0.32,Y,18
51,78991,MORTGAGE,8,VENTURE,B,18203,17.6,1,0.23,N,10
25,113525,MORTGAGE,9,PERSONAL,B,17367,9.1,0,0.15,N,12
45,110957,OWN,4,HOMEIMPROVEMENT,D,16021,6.0,1,0.14,N,15
34,75069,OWN,12,VENTURE,A,3280,17.9,1,0.04,Y,20
40,118759,MORTGAGE,12,EDUCATION,D,29460,13.1,1,0.25,N,19
48,83654,MORTGAGE,0,EDUCATION,D,27484,10.0,1,0.33,Y,14
60,90008,RENT,0,DEBTCONSOLIDATION,D,27822,13.9,1,0.31,N,2
50,43819,OWN,1,MEDICAL,C,19049,10.7,1,0.43,N,8
45,56471,RENT,13,DEBTCONSOLIDATION,A,18532,17.5,1,0.33,Y,17
43,49389,RENT,20,EDUCATION,B,6496,16.7,1,0.13,N,3
60,39973,MORTGAGE,7,EDUCATION,D,10272,12.1,1,0.26,N,5
44,41992,OWN,19,PERSONAL,A,9506,16.7,1,0.23,Y,7
57,108781,RENT,12,HOMEIMPROVEMENT,B,27995,19.1,1,0.26,N,8
40,109687,RENT,19,MEDICAL,D,9933,16.9,1,0.09,N,20
25,86317,OWN,20,PERSONAL,D,24362,5.2,1,0.28,Y,15
50,112708,MORTGAGE,4,MEDICAL,D,30540,7.6,1,0.27,N,18
58,55179,OWN,10,VENTURE,B,18088,17.5,1,0.33,N,4
57,99997,RENT,12,VENTURE,B,24046,5.4,0,0.24,N,12
37,64608,RENT,8,PERSONAL,B,20105,13.3,0,0.31,N,18
52,92768,OWN,7,PERSONAL,A,33201,14.7,0,0.36,N,17
46,110673,OWN,7,HOMEIMPROVEMENT,C,22067,15.0,1,0.2,N,13
56,63357,RENT,11,PERSONAL,B,31736,9.1,1,0.5,N,10
55,119901,OWN,5,DEBTCONSOLIDATION,C,14552,8.2,1,0.12,Y,17
33,58829,MORTGAGE,7,HOMEIMPROVEMENT,B,25650,7.7,0,0.44,N,2
24,92529,RENT,9,PERSONAL,C,10275,14.6,1,0.11,N,17
49,64657,RENT,5,PERSONAL,D,5367,8.8,1,0.08,N,17
57,102502,OWN,1,PERSONAL,B,11943,7.2,0,0.12,N,20
47,99471,OWN,19,VENTURE,C,16790,16.6,1,0.17,Y,14
48,60026,RENT,18,DEBTCONSOLIDATION,B,5947,14.1,0,0.1,N,5
26,40585,RENT,7,VENTURE,D,13391,13.3,1,0.33,N,7
51,58175,MORTGAGE,1,VENTURE,A,17170,9.3,0,0.3,N,11
37,101927,RENT,18,DEBTCONSOLIDATION,B,14964,11.4,1,0.15,Y,19
30,29359,OWN,1,VENTURE,A,12873,16.9,1,0.44,N,20
