TransactionAmount,TransactionTime,LocationRisk,MerchantRisk,PreviousFraud,Fraud
120,10,0,0,0,0
250,14,0,0,0,0
75,9,0,0,0,0
890,23,1,1,1,1
650,21,1,1,0,1
430,18,0,1,0,0
980,22,1,1,1,1
60,8,0,0,0,0
1500,1,1,1,1,1
350,15,0,0,0,0
720,20,1,0,0,1
80,11,0,0,0,0
95,13,0,0,0,0
1100,2,1,1,1,1
560,19,1,0,0,1
220,16,0,0,0,0
450,17,0,1,0,0
1300,3,1,1,1,1
170,12,0,0,0,0
800,22,1,1,0,1
210,10,0,0,0,0
300,14,0,0,0,0
980,23,1,1,1,1
150,9,0,0,0,0
620,21,1,1,0,1
410,18,0,1,0,0
870,22,1,1,1,1
90,8,0,0,0,0
1400,2,1,1,1,1
340,15,0,0,0,0
710,20,1,0,0,1
100,11,0,0,0,0
130,13,0,0,0,0
1150,1,1,1,1,1
540,19,1,0,0,1
260,16,0,0,0,0
460,17,0,1,0,0
1250,4,1,1,1,1
180,12,0,0,0,0
830,23,1,1,0,1
