Applicant_ID,Age,Monthly_Income,Credit_Score,Employment_Status,Existing_Loan,Loan_Approved
1,25,35000,620,Yes,No,No
2,32,55000,710,Yes,No,Yes
3,28,45000,680,Yes,Yes,No
4,40,80000,790,Yes,No,Yes
5,30,50000,700,Yes,No,Yes
6,45,90000,810,Yes,No,Yes
7,27,30000,610,No,Yes,No
8,35,65000,730,Yes,No,Yes
9,50,100000,820,Yes,No,Yes
10,29,40000,650,Yes,Yes,No
11,31,52000,705,Yes,No,Yes
12,38,70000,760,Yes,No,Yes
13,42,85000,800,Yes,No,Yes
14,24,28000,590,No,Yes,No
15,36,60000,720,Yes,No,Yes
16,33,48000,690,Yes,Yes,No
17,41,75000,780,Yes,No,Yes
18,26,37000,640,Yes,No,No
19,39,68000,740,Yes,No,Yes
20,47,95000,830,Yes,No,Yes
21,34,53000,710,Yes,No,Yes
22,29,42000,660,Yes,Yes,No
23,37,72000,770,Yes,No,Yes
24,43,88000,810,Yes,No,Yes
25,28,39000,650,No,Yes,No
26,44,92000,820,Yes,No,Yes
27,30,51000,705,Yes,No,Yes
28,27,34000,620,No,Yes,No
29,35,67000,735,Yes,No,Yes
30,49,98000,840,Yes,No,Yes
31,31,54000,715,Yes,No,Yes
32,26,36000,630,Yes,Yes,No
33,40,82000,790,Yes,No,Yes
34,38,69000,750,Yes,No,Yes
35,25,31000,600,No,Yes,No
36,46,91000,815,Yes,No,Yes
37,33,56000,720,Yes,No,Yes
38,28,43000,670,Yes,Yes,No
39,41,76000,785,Yes,No,Yes
40,36,62000,725,Yes,No,Yes
41,27,33000,615,No,Yes,No
42,45,89000,805,Yes,No,Yes
43,39,71000,755,Yes,No,Yes
44,32,49000,695,Yes,Yes,No
45,50,102000,835,Yes,No,Yes
46,29,41000,655,Yes,Yes,No
47,34,58000,720,Yes,No,Yes
48,37,73000,775,Yes,No,Yes
49,24,29000,580,No,Yes,No
50,48,96000,825,Yes,No,Yes
51,30,52000,710,Yes,No,Yes
52,35,64000,730,Yes,No,Yes
53,26,35000,620,No,Yes,No
54,42,84000,800,Yes,No,Yes
55,31,50000,700,Yes,No,Yes
56,38,68000,745,Yes,No,Yes
57,27,32000,610,No,Yes,No
58,43,87000,810,Yes,No,Yes
59,36,61000,725,Yes,No,Yes
60,29,44000,675,Yes,Yes,No
61,40,79000,780,Yes,No,Yes
62,25,30000,600,No,Yes,No
63,47,94000,820,Yes,No,Yes
64,34,55000,715,Yes,No,Yes
65,28,38000,640,Yes,Yes,No
66,39,70000,760,Yes,No,Yes
67,45,90000,815,Yes,No,Yes
68,33,47000,690,Yes,Yes,No
69,41,77000,785,Yes,No,Yes
70,26,36000,630,No,Yes,No
71,37,65000,735,Yes,No,Yes
72,44,86000,805,Yes,No,Yes
73,30,51000,705,Yes,No,Yes
74,27,34000,620,No,Yes,No
75,35,66000,740,Yes,No,Yes
76,49,99000,840,Yes,No,Yes
77,31,53000,710,Yes,No,Yes
78,24,28000,590,No,Yes,No
79,38,69000,750,Yes,No,Yes
80,46,92000,820,Yes,No,Yes
81,32,54000,715,Yes,No,Yes
82,29,42000,660,Yes,Yes,No
83,40,81000,790,Yes,No,Yes
84,36,62000,725,Yes,No,Yes
85,25,31000,605,No,Yes,No
86,48,97000,830,Yes,No,Yes
87,34,57000,720,Yes,No,Yes
88,28,39000,650,Yes,Yes,No
89,43,88000,810,Yes,No,Yes
90,37,73000,770,Yes,No,Yes
91,26,35000,625,No,Yes,No
92,45,91000,815,Yes,No,Yes
93,31,52000,710,Yes,No,Yes
94,27,33000,615,No,Yes,No
95,39,71000,755,Yes,No,Yes
96,42,85000,800,Yes,No,Yes
97,30,50000,700,Yes,No,Yes
98,24,29000,585,No,Yes,No
99,47,95000,825,Yes,No,Yes
100,35,65000,735,Yes,No,Yes
